软件工程师,苏州芯聚半导体有限公司,1-1.5万\/月,苏州-工业园区,创业公司,"[""五险一金"",""专业培训"",""绩效奖金""]",5-7年经验,大专,招1人,少于50人
视觉工程师,广东展扬智能装备有限公司,0.8-1.6万\/月,东莞-寮步镇,合资,"[""五险一金"",""带薪年假"",""定期体检"",""节日福利"",""出差补贴"",""项目奖"",""年终绩效奖"",""大小周"",""环境优美"",""股权激励""]",3-4年经验,本科,招1人,50-150人
前端高级开发工程师,武汉盛大长青建设投资有限公司,1-2万\/月,武汉,民营公司,"[""股票期权"",""弹性工作"",""社会保险"",""餐饮补贴""]",3-4年经验,大专,招2人,500-1000人
高级算法工程师,中元汇吉生物技术股份有限公司,2.5-3万\/月,上海-浦东新区,民营公司,"[""五险一金"",""补充医疗保险"",""补充公积金"",""免费班车"",""股票期权""]",5-7年经验,本科,招5人,1000-5000人
软件工程师（上位机）,南京普济生物有限公司,1.5-3万\/月,南京-江北新区,民营公司,"[""五险一金"",""交通补贴"",""餐饮补贴"",""年终奖金"",""周末双休""]",1年经验,本科,招1人,少于50人
前端开发工程师,江苏鸿图信息集团有限公司,5-8千\/月,常州-新北区,民营公司,"[""带薪年假"",""五险"",""节日福利"",""专业培训"",""员工旅游""]",2年经验,大专,招1人,50-150人
前端界面开发工程师（特检项目）,浙江鸿程计算机系统有限公司,1-1.5万\/月,杭州-余杭区,国企,"[""五险一金"",""免费班车"",""交通补贴"",""餐饮补贴"",""通讯补贴"",""年终奖金"",""绩效奖金"",""定期体检"",""专业培训"",""员工旅游""]",1年经验,本科,招2人,500-1000人
卫星控制软件设计师,深圳市赛思和创信息技术有限公司,2-2.5万\/月,深圳-南山区,民营公司,"[""五险一金"",""年终奖金"",""员工旅游"",""专业培训""]",3-4年经验,本科,招3人,50-150人
前端开发工程师-HF,北京深演智能科技股份有限公司,1.1-1.6万\/月,合肥-蜀山区,民营公司,"[""六险一金"",""员工旅游"",""专业培训"",""年终奖金"",""定期体检"",""节日福利"",""学习成长基金""]",3-4年经验,本科,招3人,150-500人
云原生平台架构师,湖南力天世纪信息科技有限公司,3-4万\/月,上海-浦东新区,民营公司,"[""五险一金""]",5-7年经验,本科,招3人,50-150人
前端工程师,北京比邻星球信息技术有限公司,0.6-1万\/月,广州-天河区,民营公司,"[""五险一金"",""弹性工作"",""周末双休"",""绩效奖金""]",1年经验,本科,招1人,少于50人
手机软件开发工程师,上海力声特医学科技有限公司,1.5-3万\/月,上海-浦东新区,国企,"[""专业培训"",""绩效奖金"",""年终奖金"",""带薪年假"",""节日福利"",""免费班车""]",2年经验,本科,招1人,150-500人
WPF开发工程师,上海普达特半导体设备有限公司,2.5-3万\/月,上海-浦东新区,民营公司,"[""""]",3-4年经验,本科,招2人,
机器视觉技术工程师,四川广泰科技有限公司,0.8-1.5万\/月,成都-郫都区,民营公司,"[""五险一金"",""员工旅游"",""交通补贴"",""餐饮补贴"",""通讯补贴"",""专业培训"",""绩效奖金"",""年终奖金"",""定期体检"",""弹性工作""]",3-4年经验,本科,招5人,少于50人
MCU软件工程师,深圳市玩视科技有限公司,1.5-2万\/月,深圳-南山区,民营公司,"[""年终奖金"",""带薪年假"",""员工活动"",""节日福利"",""绩效奖金"",""晋升空间""]",2年经验,大专,招4人,150-500人
前端开发工程师,深圳前海谨信云会计有限公司广州分公司,0.8-1.5万\/月,广州-天河区,民营公司,"[""发展空间"",""员工活动"",""周末双休"",""五险一金"",""带薪年假"",""青色组织管理""]",1年经验,本科,招1人,50-150人
信号处理与算法工程师,成都吉锐时代触摸技术有限公司,1.5-3万\/月,成都-高新区,民营公司,"[""五险一金"",""年终奖金"",""定期体检"",""专业培训"",""绩效奖金"",""带薪年假"",""节日福利"",""餐饮补贴""]",3-4年经验,本科,招3人,150-500人
Web前端开发工程师,深圳市分秒网络科技有限公司,1.3-2.6万\/月,深圳-南山区,民营公司,"[""做五休二"",""周末双休"",""带薪年假"",""五险一金"",""绩效奖金"",""节日福利"",""国家法定假期"",""定期体检"",""补充医疗保险"",""年终奖金""]",5-7年经验,本科,招1人,50-150人
软件工程师（南昌）,日月元科技（深圳）有限公司,0.8-1.5万\/月,南昌,外资（非欧美）,"[""五险一金"",""年终奖金"",""定期体检"",""员工旅游"",""绩效奖金"",""带薪年假""]",1年经验,本科,招1人,1000-5000人
前端高级工程师12000-18000,郑州智游信息技术有限公司,1.2-1.8万\/月,郑州-经开区,民营公司,"[""""]",5-7年经验,大专,招6人,
Java开发工程师,道专（上海）智能技术发展有限公司,1.5-2万\/月,上海-虹口区,民营公司,"[""落户上海""]",5-7年经验,本科,招2人,50-150人
Web前端开发工程师,苏州新看点信息技术有限公司,1.5-2万\/月,苏州,民营公司,"[""五险一金"",""弹性工作"",""专业培训"",""绩效奖金"",""年终奖金"",""股票期权"",""员工旅游"",""做五休二""]",1年经验,大专,招3人,150-500人
软件助理工程师,广东电将军能源有限公司,0.7-1.1万\/月,东莞-塘厦镇,民营公司,"[""五险"",""大小周"",""节日福利"",""专业培训"",""定期体检"",""包中餐"",""员工旅游"",""包住宿""]",1年经验,本科,招1人,500-1000人
软件工程师,广州福斯哲智能科技有限公司,0.9-1.8万\/月,广州-黄埔区,民营公司,"[""五险一金"",""专业培训"",""年终奖金"",""定期体检"",""员工旅游""]",2年经验,本科,招1人,少于50人
H5游戏前端开发工程师,深圳华彩云通科技有限公司广州分公司,0.8-1.5万\/月,广州-天河区,民营公司,"[""五险一金"",""补充医疗保险"",""员工旅游"",""年终奖金"",""定期体检"",""弹性工作""]",1年经验,大专,招1人,150-500人
软件工程师(北京大兴区),北京汇丰华通光电科技有限公司,10-15万\/年,北京,民营公司,"[""年终奖金"",""周末双休"",""五险一金""]",2年经验,大专,招2人,50-150人
大数据算法工程师,武汉普佳尔科技有限公司,1.5-2万\/月,武汉-洪山区,民营公司,"[""五险一金"",""专业培训"",""绩效奖金"",""年终奖金"",""员工旅游"",""节日福利"",""全勤奖""]",2年经验,大专,招若干人,50-150人
前端开发工程师（VUE）,高新兴智联,1-2万\/月,天津-东丽区,上市公司,"[""五险一金"",""免费班车"",""餐饮补贴"",""定期体检"",""通讯补贴"",""交通补贴"",""弹性工作"",""股票期权""]",3-4年经验,本科,招2人,150-500人
