招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
车险专员/9号线/包吃,太平洋保险在线服务科技有限公司深圳分公司,深圳,国企,0.6-1.2万/月,五险一金 包三餐 全勤奖 节日福利 高温补贴 绩效奖金 专业培训 带薪年假 无责任底薪 年终奖,1000-5000人,保险,校招,中技/中专,招18人,0.6,1.2
销售代表,招商银行股份有限公司漳州分行,漳州,上市公司,1-1.5万/月,做五休二 弹性工作 专业培训 节日福利 绩效奖金 高温补贴 带薪年假 交通补贴,10000人以上,银行,无需经验,大专,招5人,1,1.5
2022校招培训生（平湖）,中信证券平湖建国北路证券营业部,嘉兴,上市公司,0.6-1.2万/月,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 企业年金 节日福利,少于50人,金融/投资/证券,校招,本科,招6人,0.6,1.2
会计助理-退休返聘,英迈（中国）投资有限公司,上海,外资（欧美）,3-4.5千/月,节日福利 加班补贴 免费班车 五险一金 补充医疗保险 通讯补贴 绩效奖金 定期体检,1000-5000人,贸易/进出口,无需经验,大专,招1人,0.3,0.45
储备销售经理/储备渠道经理,招商证券股份有限公司深圳宝源路证券营业部,深圳,国企,1-1.5万/月,弹性工作 绩效奖金 专业培训 周末双休,10000人以上,金融/投资/证券,无需经验,本科,招10人,1,1.5
校招培训生（椒江）,中信证券台州分公司,台州,上市公司,0.8-1万/月,五险一金 补充医疗保险 专业培训 绩效奖金 餐饮补贴 通讯补贴 定期体检,少于50人,金融/投资/证券,校招,本科,招20人,0.8,1
银行大堂经理,招商银行股份有限公司惠州分行,惠州,上市公司,6-8千/月,五险一金 绩效奖金 专业培训 包吃 带薪年假 节日福利 定期体检 年终奖金,10000人以上,银行,校招,本科,招1人,0.6,0.8
会计,华润博雅生物制药集团股份有限公司,抚州,上市公司,6-8千/月,通讯补贴 做五休二 带薪年假 包住宿 五险一金 节日福利 高温补贴,1000-5000人,制药/生物工程,无需经验,本科,招3人,0.6,0.8
03415R-查勘定损员（无锡）,中国平安财产保险股份有限公司无锡分公司,无锡,上市公司,6-8千/月,五险一金 带薪年假 弹性工作 补充医疗保险 定期体检,500-1000人,保险,无需经验,本科,招5人,0.6,0.8
财务档案管理（外包）,金蝶软件（中国）有限公司,长沙,外资（非欧美）,4.5-7千/月,五险一金 补充公积金 补充医疗保险,5000-10000人,计算机软件,无需经验,大专,招1人,0.45,0.7
财务专员（校招）,广州广电城市服务集团股份有限公司,广州,国企,5-6千/月,五险一金 月休8天 专业培训 节日福利 绩效奖金,5000-10000人,物业管理/商业中心,无需经验,本科,招若干人,0.5,0.6
上海分公司理财顾问,东兴证券股份有限公司上海分公司,上海,上市公司,0.3-1.5万/月,五险一金 补充医疗保险 绩效奖金 年金 专业培训,1000-5000人,金融/投资/证券,校招,大专,招20人,0.3,1.5
汽车金融客户经理（平安租赁战略合作伙伴招聘）,上海威田资产管理有限公司,河源,民营公司,0.8-1万/月,做五休二 五险一金 周末双休 带薪年假 专业培训,500-1000人,金融/投资/证券,无需经验,大专,招10人,0.8,1
泰康养老-北京-资金管理岗（校招）,泰康养老保险股份有限公司北京分公司,北京,民营公司,0.8-1万/月,周末双休 绩效奖金 节日福利 带薪年假 补充医疗保险 企业年金 六险二金,500-1000人,金融/投资/证券,校招,本科,招5人,0.8,1
理财规划师（含应届校招）,中信建投证券股份有限公司佛山顺德新桂路证券营业部,佛山,国企,6-8千/月,五险一金 补充医疗保险 餐饮补贴 专业培训 定期体检 工会活动 带薪年假 企业年金,5000-10000人,金融/投资/证券,无需经验,本科,招3人,0.6,0.8
会计,深圳市拾号餐饮管理有限公司,深圳,民营公司,5-7千/月,绩效奖金 购买社保 提供膳食 包住宿 周末双休,500-1000人,餐饮业,无需经验,大专,招1人,0.5,0.7
