招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
前端开发工程师,浙江工业大学工程设计集团有限公司,杭州,国企,1.5-2万/月,五险一金 员工旅游 餐饮补贴 专业培训 集体宿舍 节日福利,1000-5000人,建筑/建材/工程,无需经验,本科,招5人,1.5,2
三维研发工程师,北京城垣数字科技有限责任公司,北京,国企,1-1.8万/月,五险一金 补充医疗保险 餐饮补贴 定期体检 年终奖金,50-150人,计算机软件,无需经验,本科,招1人,1,1.8
Web开发工程师,重庆普量蕴界科技有限公司,成都,民营公司,4.5-6千/月,五险一金 年终奖金 绩效奖金 专业培训 交通补贴 通讯补贴 项目提成,少于50人,计算机软件,无需经验,大专,招2人,0.45,0.6
软件算法工程师（信息器件）,天津先进技术研究院,长沙,事业单位,0.6-1.1万/月,五险一金 通讯补贴 餐饮补贴 定期体检 带薪寒暑假,150-500人,计算机软件,无需经验,本科,招1人,0.6,1.1
安卓开发,成都万山顶峰科技有限公司,成都,民营公司,4-6千/月,五险一金 绩效奖金 节日福利 带薪年假 交通补贴 通讯补贴 年终奖金 股票期权 弹性工作,少于50人,互联网/电子商务,无需经验,大专,招1人,0.4,0.6
技术研发工程师助理,杭州普晶电子科技有限公司,杭州,民营公司,6-8千/月,带薪年假 绩效奖金 全勤奖 节日福利 专业培训 通讯补贴,150-500人,电子技术/半导体/集成电路,校招,本科,招2人,0.6,0.8
游戏策划实习生,杭州彩菱科技有限公司,杭州,民营公司,5-8千/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作,少于50人,网络游戏,校招,本科,招4人,0.5,0.8
高级算法开发工程师-A04,鹏城实验室,深圳,事业单位,3.5-5万/月,绩效奖金 带薪年假 免费班车 五险一金 发展空间大,1000-5000人,学术/科研,无需经验,硕士,招若干人,3.5,5
前端开发工程师（实习生）,中科边缘智慧信息科技（苏州）有限公司,苏州,民营公司,5-6千/月,五险一金 补充医疗保险 餐饮补贴 专业培训 年终奖金 股票期权 定期体检,50-150人,计算机服务(系统、数据服务、维修),校招,本科,招2人,0.5,0.6
2022届应届生岗位,上海宝康电子控制工程有限公司,上海,国企,0.7-1.3万/月,五险一金 绩效奖金 专业培训 定期体检 安家费 补充公积金 通讯补贴 餐饮补贴,150-500人,计算机软件,校招,本科,招20人,0.7,1.3
游戏管理,江西学畔教育科技有限公司,抚州,民营公司,3-4.5千/月,专业培训 员工旅游 年终奖金 餐饮补贴,50-150人,教育/培训/院校,无需经验,大专,招10人,0.3,0.45
软件工程师,南京卓胜自动化设备有限公司,南京,民营公司,1-2万/月,五险一金 周末双休 年终奖金 定期体检 节日福利 包吃包住,150-500人,仪器仪表/工业自动化,无需经验,本科,招2人,1,2
游戏体验员（双休）,深圳市儒艮大数据有限公司,深圳,民营公司,0.8-1万/月,五险一金 餐饮补贴 弹性工作 专业培训 绩效奖金 员工旅游 交通补贴 通讯补贴 出国机会 年终奖金,50-150人,计算机软件,无需经验,中技/中专,招3人,0.8,1
Web前端开发工程师,北京九畴科技有限公司,北京,民营公司,0.8-1.3万/月,五险一金 绩效奖金 加班补助 周末双休,500-1000人,计算机软件,无需经验,本科,招3人,0.8,1.3
图像算法工程师,大连益盛达智能科技有限公司,大连,民营公司,0.6-1.2万/月,五险一金 餐饮补贴 通讯补贴 交通补贴 绩效奖金 年终奖金,150-500人,机械/设备/重工,校招,本科,招5人,0.6,1.2
自动化机器视觉工程师,上海昂敏智能技术有限公司,宁波,民营公司,0.8-1.5万/月,五险一金 绩效奖金 通讯补贴 餐饮补贴,少于50人,仪器仪表/工业自动化,无需经验,本科,招1人,0.8,1.5
前端开发实习,苏州维莱科软件有限公司,苏州,民营公司,4.5-6千/月,五险一金 年终奖金 弹性工作,50-150人,计算机软件,校招,大专,招2人,0.45,0.6
研发助理工程师,东莞海牛数策软件有限公司,东莞,外资（非欧美）,4-6千/月,五险一金 带薪年假 年终双薪 周末双休,50-150人,计算机软件,校招,本科,招3人,0.4,0.6
Python开发工程师,邵阳县梦之地网络服务有限责任公司,长沙,民营公司,4-8千/月,绩效奖金 年终奖金 餐饮补贴 周末双休 免费车位,少于50人,网络游戏,校招,本科,招6人,0.4,0.8
Web前端开发实习生,东莞市联德尚信息科技有限公司,东莞,民营公司,4-5千/月,专业培训 绩效奖金 年终奖金 交通补贴 通讯补贴 五险一金,少于50人,通信/电信/网络设备,校招,大专,招1人,0.4,0.5
安卓应用开发工程师（应届生）,深圳市零刻科技有限公司,深圳,民营公司,6-8千/月,员工旅游 年终奖金 包吃 五险,50-150人,电子技术/半导体/集成电路,校招,本科,招1人,0.6,0.8
Web前端开发工程师,济南志欣科技发展有限公司,济南,民营公司,5-8千/月,五险一金 餐饮补贴,少于50人,计算机软件,校招,本科,招2人,0.5,0.8
前端开发工程师,广州康都临床检验所（特殊普通合伙）,广州,民营公司,4-6千/月,五险一金 包午餐 带薪年假 节日福利 绩效奖金,50-150人,医疗/护理/卫生,无需经验,大专,招1人,0.4,0.6
Web前端开发工程师,云众世纪（北京）科技有限公司,北京,民营公司,0.8-1万/月,五险一金 定期体检 员工旅游 年终奖金 住房补贴,少于50人,计算机软件,校招,本科,招3人,0.8,1
机器视觉助理工程师,成都航视自动化技术有限公司,成都,民营公司,4-7千/月,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 节日福利 团队聚餐,少于50人,计算机软件,校招,大专,招2人,0.4,0.7
急聘游戏客服专员6K+,长沙市开福区讯游网络信息技术工作室,长沙,民营公司,4-7千/月,绩效奖金 全勤奖 交通补贴 餐饮补贴 弹性工作 专业培训,50-150人,影视/媒体/艺术/文化传播,无需经验,大专,招1人,0.4,0.7
测绘、遥感数据处理工程师,长春长光睿视光电技术有限责任公司,长春,民营公司,0.6-1.5万/月,五险一金 通讯补贴 定期体检 年终奖金 绩效奖金 交通补贴 餐饮补贴 员工旅游,少于50人,电子技术/半导体/集成电路,校招,硕士,招4人,0.6,1.5
软件工程师,深圳市泰瑞达科技有限公司,深圳,民营公司,0.8-1万/月,五险一金 员工旅游 全勤奖 工龄奖 带薪年假 年底抽奖 大小周 包住 绩效奖金,150-500人,电子技术/半导体/集成电路,校招,大专,招2人,0.8,1
软件工程师 应届毕业生,大连凌致软件有限公司,大连,民营公司,3-4.5千/月,五险一金 补充医疗保险 补充公积金 免费班车 专业培训 出国机会 绩效奖金 年终奖金,50-150人,计算机软件,校招,大专,招若干人,0.3,0.45
前端开发工程师,南京宽塔信息技术有限公司,南京,民营公司,0.7-1万/月,绩效奖金 通讯补贴 带薪年假 免费停车 周末双休 五险一金 专业培训 年终奖金,少于50人,计算机软件,无需经验,大专,招5人,0.7,1
高级图像算法工程师,领目科技（上海）有限公司,武汉,民营公司,1.2-2.4万/月,五险一金 补充医疗保险 员工旅游 年终奖金 弹性工作 定期体检 免费停车 工作午餐 定期团建,50-150人,汽车,无需经验,本科,招3人,1.2,2.4
热力学算法工程师,上海玄道数字技术有限公司,上海,民营公司,1-2万/月,五险一金 节日福利 发展空间大 团队活动 专业培训 定期体检 年终奖金,少于50人,计算机软件,无需经验,硕士,招2人,1,2
软件工程师（算法）,普迈德（北京）科技有限公司,北京,民营公司,0.8-1.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 节假日福利 工作居住证,150-500人,医疗设备/器械,无需经验,本科,招1人,0.8,1.5
软件开发工程师,任仕达企业管理（上海）有限公司,合肥,外资（欧美）,1.2-2万/月,五险一金 补充医疗保险 年终奖金 绩效奖金,150-500人,专业服务(咨询、人力资源、财会),无需经验,本科,招若干人,1.2,2
校园招聘：游戏市场运营,浙江畅唐网络股份有限公司,杭州,民营公司,0.8-1.4万/月,餐饮补贴 弹性工作 定期体检 交通补贴 五险一金,150-500人,网络游戏,校招,本科,招若干人,0.8,1.4
物理层算法工程师（2022届）,上海大唐移动通信设备有限公司,上海,国企,1.5-2万/月,五险一金 补充医疗保险 补充公积金 餐饮补贴 绩效奖金 定期体检 工会福利 年终奖金,500-1000人,通信/电信/网络设备,校招,硕士,招3人,1.5,2
计算机视觉工程师,武汉鸿程智控科技有限公司,武汉,民营公司,0.7-1.4万/月,专业培训 年终奖金 绩效奖金 弹性工作 五险一金,50-150人,计算机软件,校招,大专,招20人,0.7,1.4
视觉算法工程师,南京鑫虹悦电子科技有限责任公司,南京,民营公司,1.2-1.5万/月,绩效奖金 交通补贴 专业培训,少于50人,计算机硬件,无需经验,大专,招2人,1.2,1.5
研发实习生,上海海天下食品股份有限公司,上海,民营公司,4-5千/月,五险一金 带薪年假 节日福利 绩效奖金,500-1000人,快速消费品(食品、饮料、化妆品),校招,大专,招若干人,0.4,0.5
机电工程师,武汉泽旭科技有限公司,武汉,民营公司,6-8千/月,五险一金 员工旅游 年终奖金,少于50人,电子技术/半导体/集成电路,无需经验,大专,招若干人,0.6,0.8
研发部助理,深圳市峰泳科技有限公司,深圳,民营公司,3-6千/月,带薪年假 周末双休 五险一金 绩效奖金 人才房 团体旅游 下午茶,少于50人,电子技术/半导体/集成电路,校招,大专,招1人,0.3,0.6
软件开发储备生,南京三商电脑软件开发有限公司,南京,外资（非欧美）,4.5-6千/月,五险一金 员工旅游 餐饮补贴 通讯补贴 年终奖金 交通补贴,50-150人,计算机软件,校招,大专,招若干人,0.45,0.6
机器视觉助理工程师,苏州汇纬自动化设备有限公司,盐城,民营公司,3-6千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作,50-150人,仪器仪表/工业自动化,校招,大专,招5人,0.3,0.6
执行策划,上海易娱网络科技有限公司广州分公司,广州,民营公司,0.6-1万/月,五险一金 补充医疗保险 定期体检 绩效奖金 年终奖金 专业培训,150-500人,网络游戏,校招,本科,招1人,0.6,1
算法实习生,中建材信息技术股份有限公司,成都,国企,3-4.5千/月,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,500-1000人,计算机硬件,校招,本科,招若干人,0.3,0.45
前端开发工程师,南宁联易达数智科技有限公司,南宁,民营公司,4-8千/月,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 专业培训 弹性工作,少于50人,计算机软件,无需经验,大专,招2人,0.4,0.8
游戏策划实习生,武汉乐鸟互动技术有限公司,武汉,民营公司,4-6千/月,五险一金 专业培训 绩效奖金,少于50人,计算机软件,校招,大专,招5人,0.4,0.6
规划算法工程师,武汉中海庭数据技术有限公司,武汉,国企,2-2.5万/月,五险一金 补充医疗保险 员工旅游 专业培训 出国机会 年终奖金 股票期权 定期体检 绩效奖金,500-1000人,计算机软件,校招,本科,招2人,2,2.5
安卓工程师（自研项目）,深圳市创实互联科技有限公司,深圳,民营公司,1.6-2.5万/月,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,150-500人,计算机软件,无需经验,大专,招1人,1.6,2.5
软件工程师（2022应届生）,川奇光电科技（扬州）有限公司,扬州,外资（非欧美）,4.5-6千/月,绩效奖金 节日福利 年终奖金 带薪年假 五险一金 周末双休 13薪,1000-5000人,电子技术/半导体/集成电路,校招,本科,招1人,0.45,0.6
软件工程师（应届毕业生）,广东华智科技有限公司,广州,民营公司,4.5-6千/月,五险一金 出国机会 专业培训 定期体检 绩效奖金,150-500人,计算机软件,校招,大专,招20人,0.45,0.6
图像工程师（欢迎应届毕业生）,深圳市赛威思科技有限公司,深圳,民营公司,5-7千/月,年终奖金 五险一金 节日福利 绩效奖金 带薪年假 员工旅游 大小周,50-150人,计算机软件,校招,大专,招3人,0.5,0.7
软件工程师,深圳禾苗通信科技有限公司,深圳,上市公司,0.8-1.2万/月,五险一金 年终奖金 节假日福利 包吃住 员工旅游 专业培训 定期体检,1000-5000人,通信/电信/网络设备,校招,本科,招10人,0.8,1.2
视觉工程师,博众精工科技股份有限公司,苏州,民营公司,2-3万/月,五险一金 员工旅游 年终奖金 出国机会 专业培训 定期体检,5000-10000人,机械/设备/重工,无需经验,本科,招1人,2,3
前端开发实习生（大三在校生）,联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,厦门,合资,3-4千/月,五险一金 餐饮补贴 通讯补贴 定期体检 补充医疗保险 员工旅游,500-1000人,计算机软件,校招,本科,招1人,0.3,0.4
iOS开发工程师,深圳市路通网络技术有限公司,深圳,民营公司,1.1-2.2万/月,五险一金 绩效奖金 员工旅游 定期体检 带薪年假 节日福利 全勤奖 专业培训,500-1000人,通信/电信运营、增值服务,无需经验,本科,招若干人,1.1,2.2
高级软件工程师,由田信息技术（上海）有限公司,淮安,外资（非欧美）,1-2万/月,五險一金 績效獎金 專業培訓 出國機會 年终奖金 弹性工作,150-500人,电子技术/半导体/集成电路,无需经验,大专,招若干人,1,2
计算机视觉算法应用高级工程师,深圳市有为信息技术发展有限公司,武汉,民营公司,1.5-3万/月,五险一金 补充医疗保险 补充公积金 员工旅游 餐饮补贴 专业培训 年终奖金 定期体检,500-1000人,汽车零配件,无需经验,硕士,招2人,1.5,3
软件工程师（2022届本科）,大连华信计算机技术股份有限公司,大连,合资,6-8千/月,五险一金 补充医疗保险 专业培训 定期体检 年终奖金,5000-10000人,计算机软件,校招,本科,招40人,0.6,0.8
软件工程师助理,苏州卓兆点胶股份有限公司,苏州,民营公司,4.5-6千/月,弹性工作 五险一金 绩效奖金 年终奖金 通讯补贴 餐饮补贴 交通补贴 年度调薪,150-500人,仪器仪表/工业自动化,校招,大专,招5人,0.45,0.6
